title,price,rate
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3
Reasons to Stay Alive,£26.41,2
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,4
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,2
In the Country We Love: My Family Divided,£22.00,4
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,2
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,2
The Genius of Birds,£17.24,1
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,5
So You've Been Publicly Shamed,£12.23,2
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,3
Big Magic: Creative Living Beyond Fear,£30.80,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,2
Agnostic: A Spirited Manifesto,£12.51,5
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,4
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,2
The Year of Magical Thinking,£43.04,2
The Literature Book (Big Ideas Simply Explained),£17.43,3
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,1
Swell: A Year of Waves,£45.58,1
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,2
Looking for Lovely: Collecting the Moments that Matter,£29.14,5
Let It Out: A Journey Through Journaling,£26.79,5
Hamilton: The Revolution,£58.79,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,5
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,4
Brain on Fire: My Month of Madness,£49.32,5
Abstract City,£56.37,5
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,1
The Lonely City: Adventures in the Art of Being Alone,£33.26,2
The Diary of a Young Girl,£59.90,3
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,3
Furiously Happy: A Funny Book About Horrible Things,£41.46,4
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,4
"Mother, Can You Not?",£16.89,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,2
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,£35.92,2
"Zero to One: Notes on Startups, or How to Build the Future",£34.06,3
Why Not Me?,£17.76,1
When Breath Becomes Air,£39.36,2
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",£28.45,4
Smarter Faster Better: The Secrets of Being Productive in Life and Business,£38.89,5
Rising Strong,£21.82,3
Man's Search for Meaning,£29.48,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",£25.06,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,£12.55,3
I Will Find You,£44.21,1
Brazen: The Courage to Find the You That's Been Hiding,£19.22,2
Between the World and Me,£56.91,4
Being Mortal: Medicine and What Matters in the End,£55.06,4
"A Murder Over a Girl: Justice, Gender, Junior High",£13.20,3
For the Love: Fighting for Grace in a World of Impossible Standards,£45.13,3
Finding God in the Ruins: How God Redeems Pain,£46.64,2
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,£59.45,4
In Cold Blood,£49.98,4
"Girl, Interrupted",£42.14,3
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,£48.67,2
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,£25.15,4
My Mother Was Nuts,£31.63,4
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",£32.35,3
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,£38.71,3
The Gunning of America: Business and the Making of American Gun Culture,£16.81,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,£28.23,2
God Is Not Great: How Religion Poisons Everything,£27.80,1
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,£31.95,3
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,£50.66,3
"Unstuffed: Decluttering Your Home, Mind, and Soul",£58.09,1
Under the Banner of Heaven: A Story of Violent Faith,£30.00,1
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",£53.51,1
The Name of God is Mercy,£37.25,2
Stiff: The Curious Lives of Human Cadavers,£36.74,3
Spilled Milk: Based on a True Story,£49.51,1
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",£41.67,4
Outliers: The Story of Success,£14.16,1
Notes from a Small Island (Notes From a Small Island #1),£40.17,1
Night (The Night Trilogy #1),£13.51,1
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",£57.83,1
Letter to a Christian Nation,£22.20,1
Let's Pretend This Never Happened: A Mostly True Memoir,£45.11,1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38,1
Into the Wild,£56.70,5
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85,3
