title,price,rate
A Light in the Attic,£51.77,3
The Black Maria,£52.15,1
Shakespeare's Sonnets,£20.66,4
Olio,£23.88,1
You can't bury them all: Poems,£33.63,2
Slow States of Collapse: Poems,£57.31,3
Untitled Collection: Sabbath Poems 2014,£14.27,4
Poems That Make Grown Women Cry,£14.19,4
Night Sky with Exit Wounds,£41.05,1
salt.,£46.78,4
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,5
Out of Print: City Lights Spotlight No. 14,£53.64,5
Les Fleurs du Mal,£29.04,5
Howl and Other Poems,£40.45,2
Leave This Song Behind: Teen Poetry at Its Best,£51.17,5
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,5
The Crossover,£38.77,4
Booked,£17.49,5
Twenty Love Poems and a Song of Despair,£30.95,4
