title,price,rate
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,4
Will You Won't You Want Me?,£13.86,3
Keep Me Posted,£20.46,4
Grey (Fifty Shades #4),£48.49,4
Meternity,£43.58,3
Some Women,£13.73,5
Shopaholic Ties the Knot (Shopaholic #3),£48.39,5
Can You Keep a Secret?,£21.94,1
Twenties Girl,£42.80,2
The Undomestic Goddess,£45.75,4
The Nanny Diaries (Nanny #1),£52.53,5
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,1
Something Borrowed (Darcy & Rachel #1),£48.96,5
Something Blue (Darcy & Rachel #2),£54.62,1
I've Got Your Number,£19.69,1
The Edge of Reason (Bridget Jones #2),£19.18,4
Bridget Jones's Diary (Bridget Jones #1),£29.82,1
