수집일시,검색어,제목,언론사,보도일자,링크
2024-11-29 16:34:17,인공지능,"AI교과서, 일반학교는 국어 도입 안 한다…""아이들 문해력 걱정"" 수용",뉴시스언론사 선정,2시간 전,https://www.newsis.com/view/NISX20241129_0002977846
2024-11-29 16:34:17,인공지능,산·학·연 함께하는 인공지능 네트워크 포럼 출범,연합뉴스,7시간 전,https://www.yna.co.kr/view/AKR20241129031400063?input=1195m
2024-11-29 16:34:17,인공지능,"KT ds, 인공지능 활용 사내 업무 툴 '웍스 AI' 오픈…MS 애저 기반",아시아경제,7시간 전,https://view.asiae.co.kr/article/2024112909091743125
2024-11-29 16:34:17,인공지능,AI교과서 첫 검정 심사 통과율 52%…21곳 중 12곳만 합격,뉴시스언론사 선정,16시간 전,https://www.newsis.com/view/NISX20241128_0002977168
2024-11-29 16:34:17,인공지능,"울주군, 인공지능 스마트 도로방범 시스템 전국 첫 구축",서울신문,3시간 전,https://www.seoul.co.kr/news/society/2024/11/29/20241129500102?wlog_tag3=naver
2024-11-29 16:34:17,인공지능,"""인공지능이 불러올 위험에 맞선다""... 'AI 안전연구소' 출범",파이낸셜뉴스,2일 전,http://www.fnnews.com/news/202411270945482485
2024-11-29 16:34:17,인공지능,"""광주·이스라엘 문화 매개로 인공지능 분야 교류 확대 약속""",뉴시스,46분 전,https://www.newsis.com/view/NISX20241129_0002978185
2024-11-29 16:34:17,인공지능,‘AI와 인간중심주의’ 인공지능총서 100번째 타이틀,국민일보,24면 1단,https://www.kmib.co.kr/article/view.asp?arcid=1732697177&code=13150000&cp=nv
2024-11-29 16:34:17,인공지능,인공지능 디지털교과서 76종 검정 합격,내일신문,3시간 전,https://www.naeil.com/news/read/530587?ref=naver
2024-11-29 16:34:17,인공지능,"현대백화점, 겨울학기에 '인공지능' 강좌 첫 개설",굿모닝경제,1일 전,https://www.goodkyung.com/news/articleView.html?idxno=252281
2024-11-29 16:34:19,인공지능,궂은 날씨도 OK...골재 품질 즉각 진단하는 인공지능,YTN,14시간 전,https://www.ytn.co.kr/_ln/0105_202411290139501058
2024-11-29 16:34:19,인공지능,"KAIST, ‘바이오 경로’ 이미지 분석 인공지능 개발",아시아경제,1일 전,https://view.asiae.co.kr/article/2024112808555493952
2024-11-29 16:34:19,인공지능,"인공지능 업계 종사자, 연구자 모여 'AI 윤리 쟁점' 논의",뉴스1,1일 전,https://www.news1.kr/it-science/general-it/5614139
2024-11-29 16:34:19,인공지능,광주시 28~29일 인공지능 전시회 'AI TECH+',뉴스1,1일 전,https://www.news1.kr/local/gwangju-jeonnam/5613505
2024-11-29 16:34:19,인공지능,"카카오, 유엔 회의서 'AI-이용자 건강한 상호작용 윤리' 발표",뉴시스언론사 선정,3일 전,https://www.newsis.com/view/NISX20241126_0002972533
2024-11-29 16:34:19,인공지능,"광주시, 광주형 인공지능(AI) 비즈니스 245~252번째 업무협약",이뉴스투데이,1일 전,http://www.enewstoday.co.kr/news/articleView.html?idxno=2206546
2024-11-29 16:34:19,인공지능,‘AI와 인간중심주의’ 인공지능총서 100번째 타이틀,국민일보,24면 1단,https://www.kmib.co.kr/article/view.asp?arcid=1732697177&code=13150000&cp=nv
