title,price,rate
Unicorn Tracks,£18.78,3
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,3
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5
Masks and Shadows,£56.40,2
Crown of Midnight (Throne of Glass #2),£43.29,3
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1
Throne of Glass (Throne of Glass #1),£35.07,3
The Glittering Court (The Glittering Court #1),£44.28,1
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,1
The Star-Touched Queen,£46.02,5
The Hidden Oracle (The Trials of Apollo #1),£52.26,2
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,4
Island of Dragons (Unwanteds #7),£29.65,1
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,5
City of Glass (The Mortal Instruments #3),£56.02,4
Searching for Meaning in Gailana,£38.73,1
The Star-Touched Queen,£32.30,5
A Shard of Ice (The Black Symphony Saga #1),£56.63,3
King's Folly (The Kinsman Chronicles #1),£39.61,5
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,5
A Gathering of Shadows (Shades of Magic #2),£44.81,4
The Raven Boys (The Raven Cycle #1),£57.74,4
The False Prince (The Ascendance Trilogy #1),£56.00,5
Tell the Wind and Fire,£45.51,3
A Feast for Crows (A Song of Ice and Fire #4),£17.21,4
The Demonists (Demonist #1),£52.11,2
The Beast (Black Dagger Brotherhood #14),£46.08,5
Paper and Fire (The Great Library #2),£49.45,5
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,4
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,5
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,1
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,4
Soldier (Talon #3),£24.72,2
Midnight Riot (Peter Grant/ Rivers of London - books #1),£55.46,2
Heir to the Sky,£44.07,4
Eragon (The Inheritance Cycle #1),£43.87,3
Darkfever (Fever #1),£56.02,1
Ash,£22.06,4
A Storm of Swords (A Song of Ice and Fire #3),£31.22,2
Vampire Girl (Vampire Girl #1),£53.82,2
The Silent Twin (Detective Jennifer Knight #3),£36.25,3
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,1
Sister Sable (The Mad Queen #1),£13.33,3
Shadow Rites (Jane Yellowrock #10),£21.72,4
Origins (Alphas 0.5),£28.99,1
One Second (Seven #7),£52.94,2
Myriad (Prentor #1),£58.75,4
